region,gf4,coder,event,threshold,n1,n2,nwild,belong_group,median(t)1,median(t)2,W,var(W),z-value,wilcox p-value,chi-squared,logrank p-value,group1,group2,group1 RC,group2 RC
L3,ATGC,bch_n3_1,OS,0.6,104,12,100,group1,36.5,45.0,-217,16319.9856072,-1.69863413859,0.0893881399536,3.14046419542,0.0763720689166,GEI01-39:GEI01-19:TAX106:TCGA-A8-A069:FU22:FU09:FU14:FU16:FU24:FU25:FU39:FU40:FU01:FU02:FU15:FU29:FU43:ULL-020:ULL-022:ULL-085:ULL-105:ULL-112:ULL-123:ULL-165:ULL-169:ULL-190:ULL-222:BC104A-BE:BC106B-BE:BC108A-BE:BC110B-BE:BC112B-BE:BC114A-BE:BC116A-BE:BC 117A-BE:BC118B-BE:BC119A-BE:BC121B-BE:BC124A-BE:BC125A-BE:BC201B-BE:BC213B-BE:BC214B-BE:BC308B-BE:BC402B-BE:BC503B-BE:BC608B-BE:BC610A-BE:BC702B-BE:BC710A-BE:BC711B-BE:BC807A-BE:BC808A-BE:TCGA-B6-A0RT:TCGA-A8-A08L:TCGA-A8-A08J:TCGA-BH-A0EE:TCGA-BH-A18M:TCGA-B6-A0IH:TCGA-B6-A0WY:TCGA-B6-A0RQ:TCGA-BH-A0HP:TCGA-A2-A0YL:TCGA-BH-A0DP:TCGA-A2-A0T6:TCGA-A2-A0YD:TCGA-BH-A0BA:TCGA-A2-A0SY:TCGA-AO-A12E:TCGA-B6-A0RG:TCGA-A2-A0CS:TCGA-B6-A0RV:TCGA-B6-A0RO:TCGA-B6-A0RI:TCGA-A2-A0EX:TCGA-A1-A0SJ:TCGA-A8-A06T:TCGA-A8-A07E:TCGA-A8-A08Z:TCGA-A8-A099:TCGA-A8-A09B:TCGA-AR-A0TW:TCGA-AR-A1AL:TCGA-BH-A0AZ:TCGA-BH-A0BS:TCGA-BH-A0C1:TCGA-C8-A133:TCGA-BH-A18J:TCGA-BH-A18L:TCGA-A8-A06X:TCGA-B6-A0IB:TCGA-A7-A13F:TCGA-E2-A107:TCGA-E2-A10A:TCGA-B6-A0IM:TCGA-A8-A06N:TCGA-A8-A06Z:TCGA-A8-A07L:TCGA-A8-A09Z:TCGA-AN-A0FK:TCGA-AR-A0TQ:TCGA-BH-A0BZ:TCGA-C8-A1HL:TCGA-E2-A14O,GEI01-75:GEI01-57:CHR08-Epi196:CHR08-Epi194:BER07-P15:BER07-P55:BER07-P42:TAX099:TAX083:TAX231:TAX028:TCGA-B6-AWX,0.688:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625,0.562:0.562:0.562:0.562:0.562:0.562:0.562:0.562:0.562:0.562:0.562:0.562
L3,ATGC,bch_n3_1,RFS,0.6,47,17,44,group1,39.0,15.0,-304,12954.8179563,-2.67090183409,0.00756477663962,5.24793340779,0.0219728523093,GEI01-39:GEI01-19:TAX106:FU09:FU14:FU39:FU01:FU02:FU15:FU29:FU43:ULL-020:ULL-022:ULL-085:ULL-105:ULL-112:ULL-123:ULL-165:ULL-169:ULL-190:ULL-222:BC104A-BE:BC106B-BE:BC108A-BE:BC110B-BE:BC112B-BE:BC114A-BE:BC116A-BE:BC 117A-BE:BC118B-BE:BC119A-BE:BC121B-BE:BC124A-BE:BC125A-BE:BC201B-BE:BC213B-BE:BC214B-BE:BC308B-BE:BC402B-BE:BC503B-BE:BC608B-BE:BC610A-BE:BC702B-BE:BC710A-BE:BC711B-BE:BC807A-BE:BC808A-BE,GEI01-75:GEI01-57:CHR08-Epi196:CHR08-Epi194:BER07-P15:BER07-P55:BER07-P42:TAX099:TAX083:TAX231:TAX028:EB98-28:EB98-30:EB98-33:EB98-26:EB98-24:EB98-25,0.688:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625:0.625,0.562:0.562:0.562:0.562:0.562:0.562:0.562:0.562:0.562:0.562:0.562:0.562:0.562:0.562:0.562:0.562:0.562
